SampleID,Env
SRR5761074,root:D
SRR5761072,root:D
SRR5761061,root:D
SRR5761056,root:D
SRR5761078,root:W
SRR5760958,root:W
SRR5760872,root:W
SRR5761156,root:W
SRR5761157,root:W
SRR5761163,root:W
SRR5761051,root:W
SRR5761052,root:W
SRR5760938,root:W
SRR5760937,root:W
SRR5760861,root:W
SRR5760858,root:W
SRR5760892,root:W
SRR5761164,root:W
SRR5761158,root:W
SRR5761045,root:W
SRR5760959,root:W
SRR5760957,root:W
SRR5761010,root:D
SRR5761015,root:D
SRR5761023,root:D
SRR5761026,root:D
SRR5761197,root:D
SRR5761199,root:D
SRR5760932,root:D
SRR5760974,root:D
SRR5761102,root:D
SRR5761101,root:D
SRR5761129,root:D
SRR5761135,root:D
SRR5760877,root:D
SRR5760876,root:D
SRR5760881,root:D
SRR5760916,root:D
SRR5761000,root:D
SRR5761179,root:D
SRR5761110,root:D
SRR5760989,root:D
SRR5760952,root:D
SRR5760948,root:D
