SampleID,Env
BJN1T1,root:BJN
BJN1T2,root:BJN
BJN1T3,root:BJN
BJN1T4,root:BJN
BJN1T5,root:BJN
BJN1T6,root:BJN
BJN10T1,root:BJN
BJN10T2,root:BJN
BJN10T3,root:BJN
BJN10T4,root:BJN
BJN10T5,root:BJN
BJN10T6,root:BJN
BJN2T1,root:BJN
BJN2T2,root:BJN
BJN2T3,root:BJN
BJN2T4,root:BJN
BJN2T5,root:BJN
BJN2T6,root:BJN
BJN3T1,root:BJN
BJN3T2,root:BJN
BJN3T3,root:BJN
BJN3T4,root:BJN
BJN3T5,root:BJN
BJN3T6,root:BJN
BJN4T1,root:BJN
BJN4T2,root:BJN
BJN4T3,root:BJN
BJN4T4,root:BJN
BJN4T5,root:BJN
BJN4T6,root:BJN
BJN5T1,root:BJN
BJN5T2,root:BJN
BJN5T3,root:BJN
BJN5T4,root:BJN
BJN5T5,root:BJN
BJN5T6,root:BJN
BJN6T2,root:BJN
BJN6T3,root:BJN
BJN6T4,root:BJN
BJN6T5,root:BJN
BJN6T6,root:BJN
BJN7T1,root:BJN
BJN7T2,root:BJN
BJN7T3,root:BJN
BJN7T4,root:BJN
BJN8T1,root:BJN
BJN8T2,root:BJN
BJN8T3,root:BJN
BJN8T4,root:BJN
BJN8T5,root:BJN
BJN8T6,root:BJN
BJN9T1,root:BJN
BJN9T2,root:BJN
BJN9T3,root:BJN
BJN9T4,root:BJN
BJN9T5,root:BJN
BJN9T6,root:BJN
MTC1T1,root:BJN
MTC1T2,root:BJN
MTT1T4,root:TT
MTT1T5,root:TT
MTT1T11,root:TT
MTT1T12,root:TT
MTT1T13,root:TT
MTT1T15,root:TT
MTT1T8,root:TT
MTT1T9,root:TT
MTT1T17,root:TT
MTC2T1,root:BJN
MTC2T2,root:BJN
MTT2T4,root:TT
MTT2T5,root:TT
MTT2T7,root:TT
MTT2T12,root:TT
MTT2T13,root:TT
MTT2T14,root:TT
MTT2T15,root:TT
MTT2T9,root:TT
MTT2T17,root:TT
MTT2T18,root:TT
MTT2T19,root:TT
MTB2T21,root:BJN
MTB2T22,root:BJN
MTB2T23,root:BJN
MTB2T24,root:BJN
MTB2T25,root:BJN
MTC3T1,root:BJN
MTC3T2,root:BJN
MTT3T4,root:TT
MTT3T5a,root:TT
MTT3T5b,root:TT
MTT3T7,root:TT
MTT3T11,root:TT
MTT3T12,root:TT
MTT3T13,root:TT
MTT3T14,root:TT
MTT3T15,root:TT
MTT3T9,root:TT
MTT3T17,root:TT
MTT3T18,root:TT
MTT3T19,root:TT
MTB3T21,root:BJN
MTB3T22,root:BJN
MTB3T23,root:BJN
MTB3T24,root:BJN
MTB3T25,root:BJN
MTC4T1,root:BJN
MTC4T2,root:BJN
MTT4T12a,root:TT
MTT4T12b,root:TT
MTT4T14,root:TT
MTT4T9a,root:TT
MTT4T9b,root:TT
MTT4T17,root:TT
MTB4T21,root:BJN
MTB4T22,root:BJN
MTB4T23,root:BJN
MTB4T24,root:BJN
MTB4T25,root:BJN
MTC5T1,root:BJN
MTC5T2,root:BJN
MTT5T4,root:TT
MTT5T6,root:TT
MTT5T7,root:TT
MTT5T11,root:TT
MTT5T12,root:TT
MTT5T13,root:TT
MTT5T14,root:TT
MTT5T15,root:TT
MTT5T9,root:TT
MTT5T17,root:TT
MTT5T18,root:TT
MTT5T19,root:TT
MTB5T21,root:BJN
MTB5T22,root:BJN
MTB5T23,root:BJN
MTB5T24,root:BJN
MTB5T25,root:BJN
MTC6T1,root:BJN
MTC6T2,root:BJN
MTT6T3,root:TT
MTT6T4,root:TT
MTT6T5,root:TT
MTT6T7,root:TT
MTT6T11,root:TT
MTT6T12,root:TT
MTT6T13,root:TT
MTT6T14,root:TT
MTT6T15,root:TT
MTT6T16,root:TT
MTT6T8,root:TT
MTT6T9,root:TT
MTT6T17,root:TT
MTT6T18,root:TT
MTT6T19,root:TT
MTT6T20,root:TT
MTB6T21,root:BJN
MTB6T22,root:BJN
MTB6T23,root:BJN
MTB6T24,root:BJN
MTB6T25,root:BJN
MTB6T26,root:BJN
MTB6T27,root:BJN
MTB6T28,root:BJN
MTB6T29,root:BJN
MTC7T1,root:BJN
MTC7T2,root:BJN
MTT7T3,root:TT
MTT7T4,root:TT
MTT7T5,root:TT
MTT7T7,root:TT
MTT7T10,root:TT
MTT7T12,root:TT
MTT7T13,root:TT
MTT7T14,root:TT
MTT7T8,root:TT
MTT7T9,root:TT
MTT7T17,root:TT
MTT7T18,root:TT
MTT7T19,root:TT
MTB7T21,root:BJN
MTB7T22,root:BJN
MTB7T23,root:BJN
MTB7T24,root:BJN
MTC8T1,root:BJN
MTC8T2,root:BJN
MTT8T4,root:TT
MTT8T6,root:TT
MTT8T7,root:TT
MTT8T11,root:TT
MTT8T12,root:TT
MTT8T13,root:TT
MTT8T14,root:TT
MTT8T15,root:TT
MTT8T9,root:TT
MTT8T17,root:TT
MTB8T21,root:BJN
MTB8T22,root:BJN
MTB8T23,root:BJN
MTB8T24,root:BJN
MTB8T25,root:BJN
MTB8T26,root:BJN
MTB8T27,root:BJN
MTB8T28,root:BJN
MTB8T29,root:BJN
MTB8T30,root:BJN
TTC1T1,root:TT
TTC1T2,root:TT
TTC2T1,root:TT
TTC2T2,root:TT
TTC3T1,root:TT
TTC3T2,root:TT
TTC4T1,root:TT
TTC4T2,root:TT
TTP1T1,root:TT
TTP1T2,root:TT
TTP1T3,root:TT
TTP2T1,root:TT
TTP2T2,root:TT
TTP3T1,root:TT
TTN1T1,root:TT
TTN1T2,root:TT
TTN10T1,root:TT
TTN10T2,root:TT
TTN11T1,root:TT
TTN11T2,root:TT
TTN12T1,root:TT
TTN12T2,root:TT
TTN13T1,root:TT
TTN13T2,root:TT
TTN14T1,root:TT
TTN14T2,root:TT
TTN2T1,root:TT
TTN2T2,root:TT
TTN3T1,root:TT
TTN3T2,root:TT
TTN4T1,root:TT
TTN4T2,root:TT
TTN5T1,root:TT
TTN5T2,root:TT
TTN6T1,root:TT
TTN6T2,root:TT
TTN7T1,root:TT
TTN7T2,root:TT
TTN8T1,root:TT
TTN8T2,root:TT
TTN9T1,root:TT
TTN9T2,root:TT
