,root:D,root:W
SRR5761066,0.9707256,0.029274326
SRR5761057,0.97381365,0.02618632
SRR5761125,0.78189564,0.21810439
SRR5760869,0.9703728,0.02962716
SRR5760870,0.65473706,0.34526286
SRR5760871,0.95894927,0.04105077
SRR5760864,0.96514714,0.034852937
SRR5760865,0.9736963,0.026303723
SRR5760907,0.9583292,0.041670807
SRR5760909,0.89070433,0.10929562
SRR5760915,0.96502763,0.03497239
SRR5760993,0.96434915,0.035650834
SRR5761082,0.90621954,0.093780436
SRR5761079,0.2086509,0.79134905
SRR5761183,0.36489692,0.6351031
SRR5760905,0.9694687,0.030531356
SRR5761049,0.048618026,0.951382
SRR5761047,0.92530155,0.07469841
SRR5760940,0.031469434,0.9685306
SRR5760853,0.9665976,0.033402387
SRR5760885,0.16671874,0.83328134
SRR5760893,0.93989676,0.06010324
SRR5761038,0.042111285,0.9578887
SRR5761137,0.95995206,0.04004802
SRR5761145,0.9370247,0.06297525
SRR5761025,0.13447447,0.86552554
SRR5761028,0.81409866,0.18590128
SRR5761154,0.9695153,0.030484673
SRR5760931,0.9551467,0.04485337
SRR5760935,0.9722252,0.0277748
SRR5760971,0.9632598,0.03674021
SRR5760883,0.9740347,0.025965273
SRR5760925,0.969493,0.030507045
SRR5760922,0.96313566,0.036864325
SRR5760923,0.97148335,0.028516676
SRR5760917,0.967504,0.032495975
SRR5760899,0.95836884,0.041631192
SRR5760898,0.9719539,0.028045995
SRR5760903,0.9359832,0.06401678
SRR5761115,0.9720999,0.027900029
SRR5760986,0.9743217,0.02567827
SRR5760984,0.97267103,0.027328903
SRR5760985,0.97232753,0.027672425
SRR5760953,0.97155803,0.028441941
