SampleID,Env
SRR5761075,root:D
SRR5761058,root:D
SRR5761064,root:D
SRR5761120,root:D
SRR5761124,root:D
SRR5760998,root:D
SRR5760999,root:D
SRR5761080,root:W
SRR5761187,root:W
SRR5761031,root:W
SRR5761034,root:W
SRR5760873,root:W
SRR5761055,root:W
SRR5761054,root:W
SRR5760941,root:W
SRR5760856,root:W
SRR5760854,root:W
SRR5761088,root:W
SRR5761095,root:W
SRR5761165,root:W
SRR5761140,root:D
SRR5761143,root:D
SRR5761155,root:D
SRR5761196,root:D
SRR5760972,root:D
SRR5760970,root:D
SRR5761097,root:D
SRR5760878,root:D
SRR5761005,root:D
SRR5761004,root:D
SRR5761009,root:D
SRR5760904,root:D
SRR5760902,root:D
SRR5761178,root:D
SRR5761172,root:D
SRR5761106,root:D
SRR5761109,root:D
SRR5761114,root:D
SRR5760982,root:D
SRR5760980,root:D
SRR5760981,root:D
SRR5760954,root:D
SRR5760947,root:D
SRR5760946,root:D
