,root:D,root:W
SRR5761068,0.03176105,0.9682389
SRR5761065,0.9663727,0.033627313
SRR5761122,0.9514384,0.048561618
SRR5761121,0.9624409,0.037559118
SRR5760994,0.96531296,0.03468702
SRR5761081,0.06713303,0.93286693
SRR5761188,0.28111336,0.7188867
SRR5761191,0.09607103,0.90392894
SRR5761032,0.8687588,0.13124125
SRR5761036,0.07568012,0.9243199
SRR5761053,0.09070507,0.90929496
SRR5761046,0.9195564,0.08044361
SRR5760855,0.9650059,0.034994118
SRR5761092,0.23475859,0.76524144
SRR5760966,0.597904,0.402096
SRR5760968,0.95801604,0.041983955
SRR5760891,0.25024238,0.74975765
SRR5760889,0.09005604,0.909944
SRR5760887,0.38764393,0.61235607
SRR5761169,0.8973271,0.10267288
SRR5761138,0.2172576,0.7827424
SRR5761012,0.25024238,0.74975765
SRR5761017,0.30831635,0.69168365
SRR5761014,0.8221948,0.17780514
SRR5761022,0.9423803,0.057619695
SRR5761200,0.9492036,0.050796404
SRR5760934,0.9646846,0.035315394
SRR5760977,0.9608241,0.039175924
SRR5761104,0.95772094,0.04227904
SRR5761096,0.9658296,0.03417039
SRR5761132,0.85773396,0.14226605
SRR5761133,0.856922,0.14307806
SRR5761127,0.9653108,0.034689162
SRR5761128,0.9132054,0.08679464
SRR5760882,0.85834813,0.14165187
SRR5760918,0.9626953,0.037304703
SRR5761002,0.9123968,0.08760318
SRR5761008,0.9443654,0.055634648
SRR5760901,0.9609467,0.039053284
SRR5761112,0.9646766,0.035323355
SRR5761107,0.9611607,0.038839243
SRR5760988,0.9633522,0.036647845
SRR5760950,0.83547145,0.16452855
