SampleID,Env
SRR5761071,root:D
SRR5761069,root:D
SRR5761073,root:D
SRR5761117,root:D
SRR5760868,root:D
SRR5760867,root:D
SRR5760912,root:D
SRR5760914,root:D
SRR5760996,root:D
SRR5761077,root:W
SRR5761185,root:W
SRR5761186,root:W
SRR5761190,root:W
SRR5761037,root:W
SRR5760945,root:W
SRR5760860,root:W
SRR5760852,root:W
SRR5761089,root:W
SRR5760964,root:W
SRR5760961,root:W
SRR5760884,root:W
SRR5760956,root:W
SRR5761021,root:D
SRR5761029,root:D
SRR5761150,root:D
SRR5761153,root:D
SRR5760928,root:D
SRR5760926,root:D
SRR5760979,root:D
SRR5761105,root:D
SRR5761099,root:D
SRR5761098,root:D
SRR5761126,root:D
SRR5760879,root:D
SRR5760920,root:D
SRR5760921,root:D
SRR5761181,root:D
SRR5761176,root:D
SRR5761177,root:D
SRR5761173,root:D
SRR5761108,root:D
SRR5760983,root:D
SRR5760955,root:D
