SampleID,Env
SRR5761066,root:D
SRR5761057,root:D
SRR5761125,root:D
SRR5760869,root:D
SRR5760870,root:D
SRR5760871,root:D
SRR5760864,root:D
SRR5760865,root:D
SRR5760907,root:D
SRR5760909,root:D
SRR5760915,root:D
SRR5760993,root:D
SRR5761082,root:D
SRR5761079,root:W
SRR5761183,root:W
SRR5760905,root:W
SRR5761049,root:W
SRR5761047,root:W
SRR5760940,root:W
SRR5760853,root:W
SRR5760885,root:W
SRR5760893,root:W
SRR5761038,root:W
SRR5761137,root:W
SRR5761145,root:D
SRR5761025,root:D
SRR5761028,root:D
SRR5761154,root:D
SRR5760931,root:D
SRR5760935,root:D
SRR5760971,root:D
SRR5760883,root:D
SRR5760925,root:D
SRR5760922,root:D
SRR5760923,root:D
SRR5760917,root:D
SRR5760899,root:D
SRR5760898,root:D
SRR5760903,root:D
SRR5761115,root:D
SRR5760986,root:D
SRR5760984,root:D
SRR5760985,root:D
SRR5760953,root:D
