,root:D,root:W
SRR5761118,0.8817612,0.11823881
SRR5761123,0.3210931,0.67890686
SRR5760911,0.81641597,0.18358405
SRR5760906,0.86500525,0.13499476
SRR5760908,0.8753799,0.1246201
SRR5760995,0.8191976,0.1808024
SRR5760990,0.86563516,0.13436484
SRR5761084,0.4224263,0.5775737
SRR5761076,0.039291225,0.96070874
SRR5761035,0.06918122,0.9308188
SRR5761048,0.42309988,0.5769001
SRR5760939,0.1970482,0.8029518
SRR5760944,0.059013743,0.9409862
SRR5760942,0.49867955,0.5013205
SRR5760936,0.18041524,0.8195847
SRR5761090,0.8055608,0.19443913
SRR5761093,0.26277712,0.73722285
SRR5760967,0.23966308,0.76033694
SRR5760960,0.19751154,0.8024885
SRR5761171,0.8484393,0.15156072
SRR5761159,0.52925354,0.47074646
SRR5761042,0.2129087,0.7870913
SRR5761041,0.221773,0.778227
SRR5761136,0.25903448,0.74096555
SRR5761141,0.17406617,0.82593375
SRR5761142,0.38137147,0.61862856
SRR5761027,0.8037247,0.19627535
SRR5761146,0.8268277,0.1731723
SRR5761195,0.8430502,0.1569498
SRR5761201,0.86956847,0.13043155
SRR5761193,0.83813554,0.16186441
SRR5760929,0.82505995,0.17494003
SRR5761131,0.85848254,0.14151748
SRR5761134,0.8575425,0.14245741
SRR5760875,0.86071616,0.13928378
SRR5760880,0.8764575,0.12354245
SRR5760924,0.8794646,0.120535426
SRR5761007,0.8730954,0.12690458
SRR5761006,0.8723877,0.12761225
SRR5761001,0.87635916,0.12364084
SRR5760900,0.7597447,0.2402553
SRR5760897,0.864179,0.13582098
SRR5761111,0.87458014,0.12541986
SRR5760951,0.87921214,0.12078782
