SampleID,Env
SRR5761068,root:D
SRR5761065,root:D
SRR5761122,root:D
SRR5761121,root:D
SRR5760994,root:D
SRR5761081,root:W
SRR5761188,root:W
SRR5761191,root:W
SRR5761032,root:W
SRR5761036,root:W
SRR5761053,root:W
SRR5761046,root:W
SRR5760855,root:W
SRR5761092,root:W
SRR5760966,root:W
SRR5760968,root:W
SRR5760891,root:W
SRR5760889,root:W
SRR5760887,root:W
SRR5761169,root:W
SRR5761138,root:W
SRR5761012,root:D
SRR5761017,root:D
SRR5761014,root:D
SRR5761022,root:D
SRR5761200,root:D
SRR5760934,root:D
SRR5760977,root:D
SRR5761104,root:D
SRR5761096,root:D
SRR5761132,root:D
SRR5761133,root:D
SRR5761127,root:D
SRR5761128,root:D
SRR5760882,root:D
SRR5760918,root:D
SRR5761002,root:D
SRR5761008,root:D
SRR5760901,root:D
SRR5761112,root:D
SRR5761107,root:D
SRR5760988,root:D
SRR5760950,root:D
