SampleID,Env
SRR5761060,root:D
SRR5761059,root:D
SRR5761119,root:D
SRR5761116,root:D
SRR5760866,root:D
SRR5760992,root:D
SRR5760991,root:D
SRR5761085,root:D
SRR5761189,root:W
SRR5761030,root:W
SRR5761033,root:W
SRR5761162,root:W
SRR5761160,root:W
SRR5761161,root:W
SRR5760894,root:W
SRR5761050,root:W
SRR5760857,root:W
SRR5761086,root:W
SRR5761091,root:W
SRR5760965,root:W
SRR5760969,root:W
SRR5760888,root:W
SRR5761167,root:W
SRR5761040,root:W
SRR5761139,root:W
SRR5761011,root:D
SRR5761016,root:D
SRR5761018,root:D
SRR5761020,root:D
SRR5761147,root:D
SRR5761151,root:D
SRR5761194,root:D
SRR5760930,root:D
SRR5760927,root:D
SRR5760978,root:D
SRR5760975,root:D
SRR5760973,root:D
SRR5760874,root:D
SRR5760896,root:D
SRR5761180,root:D
SRR5761174,root:D
SRR5761175,root:D
SRR5761113,root:D
SRR5760949,root:D
