,root:D,root:W
SRR5761075,0.662927,0.337073
SRR5761058,0.69196826,0.30803174
SRR5761064,0.6918286,0.30817136
SRR5761120,0.68857175,0.31142825
SRR5761124,0.6914727,0.30852735
SRR5760998,0.6844541,0.31554583
SRR5760999,0.68992674,0.3100733
SRR5761080,0.6629686,0.33703133
SRR5761187,0.22011356,0.7798864
SRR5761031,0.28210774,0.7178922
SRR5761034,0.11670838,0.8832916
SRR5760873,0.12297817,0.87702185
SRR5761055,0.6629686,0.33703133
SRR5761054,0.10759834,0.8924017
SRR5760941,0.6629686,0.33703133
SRR5760856,0.6629686,0.33703133
SRR5760854,0.44632113,0.5536789
SRR5761088,0.6186648,0.38133517
SRR5761095,0.63699603,0.36300397
SRR5761165,0.12282447,0.87717545
SRR5761140,0.032006215,0.9679938
SRR5761143,0.11754208,0.8824579
SRR5761155,0.6864644,0.3135356
SRR5761196,0.69056183,0.3094382
SRR5760972,0.6921721,0.30782795
SRR5760970,0.68487793,0.31512207
SRR5761097,0.67745227,0.32254773
SRR5760878,0.666515,0.33348498
SRR5761005,0.689529,0.31047097
SRR5761004,0.68766576,0.31233415
SRR5761009,0.68512195,0.31487802
SRR5760904,0.69122165,0.30877835
SRR5760902,0.689391,0.31060898
SRR5761178,0.6795363,0.32046378
SRR5761172,0.6726645,0.3273355
SRR5761106,0.6863696,0.3136304
SRR5761109,0.6819773,0.3180228
SRR5761114,0.63646966,0.3635303
SRR5760982,0.6907852,0.30921477
SRR5760980,0.6883162,0.31168377
SRR5760981,0.68304646,0.31695354
SRR5760954,0.66182554,0.33817452
SRR5760947,0.6652232,0.3347768
SRR5760946,0.6884926,0.31150743
